Wavelength,Flux
1351.44, 1.04448
1351.54, 1.15127
1351.64, 1.07636
1351.74, 1.03286
1351.83, 0.966149
1351.93, 1.03103
1352.03, 1.02724
1352.13, 0.962878
1352.22, 0.964149
1352.32, 1.05218
1352.42, 0.990342
1352.52, 0.933643
1352.62, 0.917431
1352.71, 0.924934
1352.81, 0.916329
1352.91, 0.927166
1353.01, 0.864240
1353.10, 0.915899
1353.20, 0.828682
1353.30, 0.956631
1353.40, 0.924712
1353.50, 0.887510
1353.59, 0.991586
1353.69, 0.898978
1353.79, 0.878603
1353.89, 0.943936
1353.98, 0.947311
1354.08, 0.982337
1354.18, 1.04246
1354.28, 0.955308
1354.38, 1.00128
1354.47, 0.963968
1354.57, 0.953700
1354.67, 1.10368
1354.77, 0.953432
1354.86, 1.08230
1354.96, 0.929985
1355.06, 1.02972
1355.16, 0.942757
1355.26, 1.11458
1355.35, 0.939266
1355.45, 1.00808
1355.55, 1.12290
1355.65, 1.12584
1355.74, 0.979749
1355.84, 1.05317
1355.94, 0.978698
1356.04, 1.07747
1356.14, 1.03383
1356.23, 1.04146
1356.33, 0.972258
1356.43, 1.00289
1356.53, 1.01971
1356.62, 0.979298
1356.72, 1.10126
1356.82, 0.965026
1356.92, 1.01219
1357.02, 1.08679
1357.11, 1.13742
1357.21, 0.980278
1357.31, 1.05436
1357.41, 1.06492
1357.50, 0.988407
1357.60, 0.997316
1357.70, 0.969571
1357.80, 1.01616
1357.90, 1.08000
1357.99, 0.907094
1358.09, 1.07349
1358.19, 0.916181
1358.29, 0.993998
1358.38, 0.985285
1358.48, 0.997627
1358.58, 0.901578
1358.68, 1.08229
1358.78, 1.08715
